350,2.19199681,1.66796199
355,2.11002639,1.71819465
360,2.04373237,1.76752428
365,1.99087656,1.81459025
370,1.94936904,1.85837356
375,1.91727938,1.89814791
380,1.89283766,1.93343112
385,1.87442737,1.96394349
390,1.86057493,1.98957566
395,1.84993965,2.01036517
400,1.84130678,2.02647935
405,1.83358444,2.03820158
410,1.82580416,2.04591849
415,1.81712371,2.05010627
420,1.80683064,2.05131518
425,1.79434505,2.05015215
430,1.77922043,2.04726202
435,1.7611416,2.04330817
440,1.73991981,2.03895366
445,1.71548498,2.03484371
450,1.68787558,2.03159014
455,1.65722687,2.02975823
460,1.62375806,2.02985598
465,1.58775885,2.03232574
470,1.54957576,2.03753802
475,1.5095983,2.04578719
480,1.46824527,2.05728911
485,1.42595095,2.07218053
490,1.38315153,2.09052059
495,1.34027197,2.11229443
500,1.29771375,2.13741917
505,1.25584411,2.16575198
510,1.21498732,2.19710012
515,1.17541859,2.23123235
520,1.13736083,2.26789079
525,1.10098417,2.30680269
530,1.06640818,2.34769107
535,1.03370599,2.39028388
540,1.00290985,2.43432128
545,0.97401747,2.47956084
550,0.94699851,2.525781
555,0.9218008,2.57278277
560,0.89835601,2.62039019
565,0.8765846,2.66844978
570,0.85639996,2.71682926
575,0.83771171,2.76541591
580,0.82042839,2.81411468
585,0.80445943,2.8628462
590,0.78971659,2.91154488
595,0.77611501,2.96015708
600,0.76357389,3.00863945
605,0.75201686,3.05695739
610,0.74137221,3.10508375
615,0.7315729,3.15299765
620,0.72255655,3.20068345
625,0.71426521,3.24812989
630,0.70664526,3.29532933
635,0.69964711,3.34227713
640,0.69322499,3.38897108
645,0.6873367,3.43541098
650,0.68194334,3.48159826
655,0.67700908,3.5275356
660,0.67250092,3.57322673
665,0.66838849,3.61867619
670,0.66464379,3.6638891
675,0.66124106,3.70887106
680,0.65815654,3.753628
685,0.65536833,3.79816608
690,0.65285625,3.84249159
695,0.65060166,3.88661088
700,0.64858738,3.93053035
705,0.64679749,3.97425633
710,0.64521733,4.01779509
715,0.6438333,4.0611528
720,0.64263283,4.10433553
725,0.64160427,4.14734917
730,0.64073683,4.19019949
735,0.64002049,4.23289209
740,0.63944595,4.27543239
745,0.63900458,4.31782564
750,0.63868837,4.36007695
755,0.63848983,4.40219119
760,0.63840201,4.44417313
765,0.63841846,4.4860273
770,0.63853312,4.52775812
775,0.63874037,4.5693698
780,0.63903495,4.61086642
785,0.63941195,4.65225188
790,0.63986679,4.69352994
795,0.64039516,4.73470422
800,0.64099305,4.77577819
805,0.6416567,4.81675516
810,0.64238257,4.85763836
815,0.64316736,4.89843084
820,0.64400797,4.93913556
825,0.64490147,4.97975535
830,0.64584513,5.02029293
835,0.64683638,5.06075091
840,0.64787278,5.10113179
845,0.64895206,5.141438
850,0.65007208,5.18167182
855,0.6512308,5.2218355
860,0.65242633,5.26193116
865,0.65365685,5.30196085
870,0.65492068,5.34192655
875,0.6562162,5.38183014
880,0.65754191,5.42167345
885,0.65889636,5.46145822
890,0.66027821,5.50118614
895,0.66168617,5.54085883
900,0.66311903,5.58047785
905,0.66457564,5.62004468
910,0.66605491,5.65956078
915,0.66755581,5.69902754
920,0.66907735,5.73844629
925,0.67061861,5.77781831
930,0.67217871,5.81714485
935,0.6737568,5.85642711
940,0.6753521,5.89566623
945,0.67696384,5.93486333
950,0.6785913,5.97401947
955,0.68023381,6.0131357
960,0.68189071,6.052213
965,0.68356138,6.09125233
970,0.68524522,6.13025463
975,0.68694168,6.1692208
980,0.68865023,6.20815169
985,0.69037034,6.24704814
990,0.69210153,6.28591096
995,0.69384334,6.32474093
1000,0.69559533,6.36353881
1004,0.69735706,6.40230532
1010,0.69912813,6.44104117
1014,0.70090816,6.47974704
1020,0.70269678,6.51842359
